Time,PCS_AC_Power,PV_Power,Battery_Power,Microgrid_Net_Power,Microgrid_Total_Load
"7/15/22, 12:00:00 AM CDT",1,0,0,3.029803,2.029803
"7/15/22, 12:15:00 AM CDT",1,0,0,3.029803,2.029803
"7/15/22, 12:30:00 AM CDT",1,0,0,3.029803,2.029803
"7/15/22, 12:45:00 AM CDT",1,0,0,3.029803,2.029803
"7/15/22, 1:00:00 AM CDT",1,0,0,3.029803,2.029803
"7/15/22, 1:15:00 AM CDT",52.5,0,49.64333,55.15902,2.638042
"7/15/22, 1:30:00 AM CDT",52.5,0,49.65,55.15902,2.659016
"7/15/22, 1:45:00 AM CDT",52.5,0,49.66667,55.15902,2.659016
"7/15/22, 2:00:00 AM CDT",52.5,0,49.66666,55.15902,2.659016
"7/15/22, 2:15:00 AM CDT",52.5,0,49.63,55.15902,2.659016
"7/15/22, 2:30:00 AM CDT",52.5,0,49.59666,55.15902,2.659016
"7/15/22, 2:45:00 AM CDT",52.5,0,49.60333,55.15902,2.659016
"7/15/22, 3:00:00 AM CDT",52.5,0,49.63333,55.15902,2.659016
"7/15/22, 3:15:00 AM CDT",52.5,0,49.64333,55.15902,2.659016
"7/15/22, 3:30:00 AM CDT",52.5,0,49.61333,55.15902,2.659016
"7/15/22, 3:45:00 AM CDT",52.5,0,49.64333,55.15902,2.659016
"7/15/22, 4:00:00 AM CDT",52.5,0,49.64333,55.15902,2.659016
"7/15/22, 4:15:00 AM CDT",52.5,0,49.63333,55.15902,2.659016
"7/15/22, 4:30:00 AM CDT",52.5,0,49.66,55.15902,2.659016
"7/15/22, 4:45:00 AM CDT",52.5,0,49.66333,55.15902,2.659016
"7/15/22, 5:00:00 AM CDT",52.5,0,49.62,55.15902,2.659016
"7/15/22, 5:15:00 AM CDT",52.5,0,49.67,55.15902,2.659016
"7/15/22, 5:30:00 AM CDT",52.12667,0,49.22333,55.15902,3.032349
"7/15/22, 5:45:00 AM CDT",47.59,0,44.77666,50.96986,3.69549
"7/15/22, 6:00:00 AM CDT",14.24333,0,12.11,17.17165,3.865624
"7/15/22, 6:15:00 AM CDT",0.35,0.3333333,0,3.959496,3.609496
"7/15/22, 6:30:00 AM CDT",-0.3,1,0,2.033703,2.333703
"7/15/22, 6:45:00 AM CDT",-1.79,2.533333,0,0.1660166,2.02519
"7/15/22, 7:00:00 AM CDT",-3.616667,4.396667,0,-2.033703,1.64963
"7/15/22, 7:15:00 AM CDT",-4.916667,5.97,0,-2.432143,2.734004
"7/15/22, 7:30:00 AM CDT",-10.14333,11.16667,0,-7.080608,3.129133
"7/15/22, 7:45:00 AM CDT",-13.73333,14.78,0,-11.33893,2.52998
"7/15/22, 8:00:00 AM CDT",-18.13333,19.4,0,-15.79648,2.436594
"7/15/22, 8:15:00 AM CDT",-21.93333,23.58333,0,-19.78088,2.252195
"7/15/22, 8:30:00 AM CDT",-26.17667,28.02333,0,-23.01543,3.536681
"7/15/22, 8:45:00 AM CDT",-29.37333,30.93,0,-25.87646,3.261558
"7/15/22, 9:00:00 AM CDT",-30.22333,32.33333,0,-26.99983,3.43973
"7/15/22, 9:15:00 AM CDT",-38.85333,40.96667,0,-36.13351,2.969429
"7/15/22, 9:30:00 AM CDT",-38.57667,40.46333,0,-36.29123,2.240628
"7/15/22, 9:45:00 AM CDT",-39.71,42.28,0,-38.05654,2.157175
"7/15/22, 10:00:00 AM CDT",-48.21667,51.11333,0,-45.31423,3.032621
"7/15/22, 10:15:00 AM CDT",-54.93,58.63334,0,-51.82762,3.696961
