Date;Time;PV_Power
7/15/22;0.0;0.0
7/15/22;0.15;0.0
7/15/22;0.3;0.0
7/15/22;0.45;0.0
7/15/22;1.0;0.0
7/15/22;1.15;0.0
7/15/22;1.3;0.0
7/15/22;1.45;0.0
7/15/22;2.0;0.0
7/15/22;2.15;0.0
7/15/22;2.3;0.0
7/15/22;2.45;0.0
7/15/22;3.0;0.0
7/15/22;3.15;0.0
7/15/22;3.3;0.0
7/15/22;3.45;0.0
7/15/22;4.0;0.0
7/15/22;4.15;0.0
7/15/22;4.3;0.0
7/15/22;4.45;0.0
7/15/22;5.0;0.0
7/15/22;5.15;0.0
7/15/22;5.3;0.0
7/15/22;5.45;0.0
7/15/22;6.0;0.0
7/15/22;6.15;0.3333333
7/15/22;6.3;1.0
7/15/22;6.45;2.533333
7/15/22;7.0;4.396667
7/15/22;7.15;5.97
7/15/22;7.3;11.16667
7/15/22;7.45;14.78
7/15/22;8.0;19.4
7/15/22;8.15;23.58333
7/15/22;8.3;28.02333
7/15/22;8.45;30.93
7/15/22;9.0;32.33333
7/15/22;9.15;40.96667
7/15/22;9.3;40.46333
7/15/22;9.45;42.28
7/15/22;10.0;51.11333
7/15/22;10.15;58.63334
7/15/22;10.3;61.82667
7/15/22;10.45;56.04333
7/15/22;11.0;70.68
7/15/22;11.15;52.58333
7/15/22;11.3;47.67667
7/15/22;11.45;44.64333
7/15/22;12.0;54.58333
7/15/22;12.15;45.45667
7/15/22;12.3;42.8
7/15/22;12.45;49.27
7/15/22;13.0;74.01667
7/15/22;13.15;90.06333
7/15/22;13.3;82.07333
7/15/22;13.45;82.35333
7/15/22;14.0;57.30333
7/15/22;14.15;73.96333
7/15/22;14.3;65.49
7/15/22;14.45;66.13
7/15/22;15.0;51.82667
7/15/22;15.15;31.61
7/15/22;15.3;44.49
7/15/22;15.45;41.52333
7/15/22;16.0;39.25333
7/15/22;16.15;33.47667
7/15/22;16.3;23.96
7/15/22;16.45;24.33
7/15/22;17.0;30.04667
7/15/22;17.15;22.65333
7/15/22;17.3;20.98
7/15/22;17.45;14.72667
7/15/22;18.0;10.9
7/15/22;18.15;11.58
7/15/22;18.3;20.53
7/15/22;18.45;21.73667
7/15/22;19.0;11.17333
7/15/22;19.15;7.253333
7/15/22;19.3;4.763333
7/15/22;19.45;2.0
7/15/22;20.0;0.6933333
7/15/22;20.15;0.0
7/15/22;20.3;0.0
7/15/22;20.45;0.0
7/15/22;21.0;0.0
7/15/22;21.15;0.0
7/15/22;21.3;0.0
7/15/22;21.45;0.0
7/15/22;22.0;0.0
7/15/22;22.15;0.0
7/15/22;22.3;0.0
7/15/22;22.45;0.0
7/15/22;23.0;0.0
7/15/22;23.15;0.0
7/15/22;23.3;0.0
7/15/22;23.45;0.0
7/16/22;0.0;0.0
7/16/22;0.15;0.0
7/16/22;0.3;0.0
7/16/22;0.45;0.0
7/16/22;1.0;0.0
7/16/22;1.15;0.0
7/16/22;1.3;0.0
7/16/22;1.45;0.0
7/16/22;2.0;0.0
7/16/22;2.15;0.0
7/16/22;2.3;0.0
7/16/22;2.45;0.0
7/16/22;3.0;0.0
7/16/22;3.15;0.0
7/16/22;3.3;0.0
7/16/22;3.45;0.0
7/16/22;4.0;0.0
7/16/22;4.15;0.0
7/16/22;4.3;0.0
7/16/22;4.45;0.0
7/16/22;5.0;0.0
7/16/22;5.15;0.0
7/16/22;5.3;0.0
7/16/22;5.45;0.0
7/16/22;6.0;0.0
7/16/22;6.15;0.1666667
7/16/22;6.3;1.6
7/16/22;6.45;4.766667
7/16/22;7.0;7.966667
7/16/22;7.15;13.85333
7/16/22;7.3;18.20333
7/16/22;7.45;21.63333
7/16/22;8.0;17.61
7/16/22;8.15;5.203333
7/16/22;8.3;4.433333
7/16/22;8.45;3.0
7/16/22;9.0;5.033333
7/16/22;9.15;7.693333
7/16/22;9.3;9.0
7/16/22;9.45;40.95667
7/16/22;10.0;53.23
7/16/22;10.15;61.93333
7/16/22;10.3;64.16666
7/16/22;10.45;68.27
7/16/22;11.0;65.78667
7/16/22;11.15;50.08
7/16/22;11.3;63.9
7/16/22;11.45;75.94
7/16/22;12.0;78.29333
7/16/22;12.15;78.22334
7/16/22;12.3;80.74667
7/16/22;12.45;60.55
7/16/22;13.0;80.36667
7/16/22;13.15;80.3
7/16/22;13.3;79.53667
7/16/22;13.45;83.66666
7/16/22;14.0;82.87334
7/16/22;14.15;54.18
7/16/22;14.3;72.94
7/16/22;14.45;73.45333
7/16/22;15.0;67.31333
7/16/22;15.15;69.56333
7/16/22;15.3;70.61667
7/16/22;15.45;57.55333
7/16/22;16.0;55.40333
7/16/22;16.15;55.02
7/16/22;16.3;56.8
7/16/22;16.45;51.94333
7/16/22;17.0;43.25667
7/16/22;17.15;38.46667
7/16/22;17.3;32.64667
7/16/22;17.45;23.98
7/16/22;18.0;23.61667
7/16/22;18.15;17.29
7/16/22;18.3;12.07667
7/16/22;18.45;10.63
7/16/22;19.0;9.206666
7/16/22;19.15;4.586667
7/16/22;19.3;2.533333
7/16/22;19.45;1.566667
7/16/22;20.0;0.5
7/16/22;20.15;0.5
7/16/22;20.3;0.5
7/16/22;20.45;0.5
7/16/22;21.0;0.5
7/16/22;21.15;0.5
7/16/22;21.3;0.5
7/16/22;21.45;0.5
7/16/22;22.0;0.5
7/16/22;22.15;0.5
7/16/22;22.3;0.5
7/16/22;22.45;0.5
7/16/22;23.0;0.5
7/16/22;23.15;0.5
7/16/22;23.3;0.5
7/16/22;23.45;0.5
7/17/22;0.0;0.5
7/17/22;0.15;0.5
7/17/22;0.3;0.5
7/17/22;0.45;0.5
7/17/22;1.0;0.5
7/17/22;1.15;0.5
7/17/22;1.3;0.5
7/17/22;1.45;0.5
7/17/22;2.0;0.5
7/17/22;2.15;0.5
7/17/22;2.3;0.5
7/17/22;2.45;0.5
7/17/22;3.0;0.5
7/17/22;3.15;0.5
7/17/22;3.3;0.5
7/17/22;3.45;0.5
7/17/22;4.0;0.5
7/17/22;4.15;0.5
7/17/22;4.3;0.5
7/17/22;4.45;0.5
7/17/22;5.0;0.5
7/17/22;5.15;0.5
7/17/22;5.3;0.5
7/17/22;5.45;0.5
7/17/22;6.0;0.5
7/17/22;6.15;0.5
7/17/22;6.3;0.5
7/17/22;6.45;0.5
7/17/22;7.0;0.5
7/17/22;7.15;0.7333333
7/17/22;7.3;2.466667
7/17/22;7.45;3.166667
7/17/22;8.0;3.866667
7/17/22;8.15;1.5
7/17/22;8.3;3.1
7/17/22;8.45;9.723333
7/17/22;9.0;9.806667
7/17/22;9.15;16.33333
7/17/22;9.3;7.013333
7/17/22;9.45;1.24
7/17/22;10.0;0.7
7/17/22;10.15;0.7
7/17/22;10.3;0.7
7/17/22;10.45;0.7
7/17/22;11.0;0.9333333
7/17/22;11.15;3.18
7/17/22;11.3;7.8
7/17/22;11.45;7.933333
7/17/22;12.0;12.00667
7/17/22;12.15;8.62
7/17/22;12.3;11.68667
7/17/22;12.45;8.346666
7/17/22;13.0;14.23333
7/17/22;13.15;17.74
7/17/22;13.3;27.43
7/17/22;13.45;51.32
7/17/22;14.0;37.01
7/17/22;14.15;22.07
7/17/22;14.3;21.43333
7/17/22;14.45;15.13333
7/17/22;15.0;17.46667
7/17/22;15.15;14.65
7/17/22;15.3;16.13333
7/17/22;15.45;18.85
7/17/22;16.0;17.2
7/17/22;16.15;17.64
7/17/22;16.3;22.13333
7/17/22;16.45;19.23333
7/17/22;17.0;13.11667
7/17/22;17.15;9.286667
7/17/22;17.3;5.3
7/17/22;17.45;4.333333
7/17/22;18.0;4.543333
7/17/22;18.15;9.806666
7/17/22;18.3;7.806666
7/17/22;18.45;7.563333
7/17/22;19.0;7.023334
7/17/22;19.15;1.446667
7/17/22;19.3;0.5666667
7/17/22;19.45;1.0
7/17/22;20.0;0.2666667
7/17/22;20.15;0.0
7/17/22;20.3;0.0
7/17/22;20.45;0.0
7/17/22;21.0;0.0
7/17/22;21.15;0.0
7/17/22;21.3;0.0
7/17/22;21.45;0.0
7/17/22;22.0;0.0
7/17/22;22.15;0.0
7/17/22;22.3;0.0
7/17/22;22.45;0.0
7/17/22;23.0;0.0
7/17/22;23.15;0.0
7/17/22;23.3;0.0
7/17/22;23.45;0.0
7/18/22;0.0;0.0
7/18/22;0.15;0.0
7/18/22;0.3;0.0
7/18/22;0.45;0.0
7/18/22;1.0;0.0
7/18/22;1.15;0.0
7/18/22;1.3;0.0
7/18/22;1.45;0.0
7/18/22;2.0;0.0
7/18/22;2.15;0.0
7/18/22;2.3;0.0
7/18/22;2.45;0.0
7/18/22;3.0;0.0
7/18/22;3.15;0.0
7/18/22;3.3;0.0
7/18/22;3.45;0.0
7/18/22;4.0;0.0
7/18/22;4.15;0.0
7/18/22;4.3;0.0
7/18/22;4.45;0.0
7/18/22;5.0;0.0
7/18/22;5.15;0.0
7/18/22;5.3;0.0
7/18/22;5.45;0.0
7/18/22;6.0;0.0
7/18/22;6.15;0.2333333
7/18/22;6.3;1.5
7/18/22;6.45;2.466667
7/18/22;7.0;2.766667
7/18/22;7.15;6.056667
7/18/22;7.3;7.7
7/18/22;7.45;8.733334
7/18/22;8.0;9.553333
7/18/22;8.15;14.08
7/18/22;8.3;20.14667
7/18/22;8.45;22.56333
7/18/22;9.0;22.78333
7/18/22;9.15;41.63667
7/18/22;9.3;31.93
7/18/22;9.45;54.85333
7/18/22;10.0;59.16333
7/18/22;10.15;55.19333
7/18/22;10.3;54.22334
7/18/22;10.45;73.28
7/18/22;11.0;71.21333
7/18/22;11.15;58.75333
7/18/22;11.3;76.08334
7/18/22;11.45;49.26
7/18/22;12.0;74.30666
7/18/22;12.15;58.36667
7/18/22;12.3;69.20333
7/18/22;12.45;24.68333
7/18/22;13.0;31.49
7/18/22;13.15;85.1
7/18/22;13.3;38.43667
7/18/22;13.45;20.43333
7/18/22;14.0;63.93666
7/18/22;14.15;38.69
7/18/22;14.3;48.09333
7/18/22;14.45;60.45
7/18/22;15.0;76.18333
7/18/22;15.15;45.7
7/18/22;15.3;43.95
7/18/22;15.45;59.60333
7/18/22;16.0;42.32
7/18/22;16.15;18.29
7/18/22;16.3;16.17667
